scientific.name,common.name,listing.status
Nycticorax nycticorax,Black-crowned night heron,Endangered
Chlidonias niger,Black tern,Endangered
Aquila chrysaetos,Golden eagle,Endangered
Ammodramus savannarum,Grasshopper sparrow,Endangered
Ixobrychus exilis,Least bittern,Endangered
Sterna antillarum,Least tern,Endangered
Falco peregrinus,Peregrine falcon,Endangered
Charadrius melodus,Piping plover,Endangered
Sterna dougallii,Roseate tern,Endangered
Cistothorus stellaris,Sedge wren,Endangered
Esox americanus americanus,Redfin pickerel,Endangered
Myotis lucifugus,Little brown bat,Endangered
Sylvilagus transitionalis,New England cottontail,Endangered
Myotis septentrionalis,Northern long-eared bat,Endangered
Cicindela marginipennis,Cobblestone tiger beetle,Endangered
Satyrium edwardsii,Edwards’ hairstreak,Endangered
Boloria frigga,Frigga fritillary,Endangered
Callophrys hesseli,Hessel’s hairstreak,Endangered
Callophrys gryneus,Juniper hairstreak,Endangered
Oeneis polixenes katahdin,Katahdin Arctic,Endangered
Gomphus quadricolor,Rapids clubtail,Endangered
Vertigo morsei,Six-whorl vertigo,Endangered
Coluber constrictor,North American racer,Endangered
Emydoidea blandingii,Blanding’s turtle,Endangered
Terrapene carolina,Common box turtle,Endangered
Sterna paradisaea,Arctic tern,Threatened
Fratercula arctica,Atlantic puffin,Threatened
Bucephala islandica,Barrow's goldeneye,Threatened
Gallinula galeata,Common gallinule,Threatened
Histrionicus histrionicus,Harlequin duck,Threatened
Alca torda,Razorbill,Threatened
Bartramia longicauda,Upland sandpiper,Threatened
Asio flammeus,Short-eared owl,Threatened
Etheostoma fusiforme,Swamp darter,Threatened
Myotis leibii,Eastern small-footed bat,Threatened
Synaptomys borealis,Northern bog lemming,Threatened
Clemmys guttata,Spotted turtle,Threatened
Tharsalea dorcas claytoni,Clayton’s copper,Threatened
Boloria chariclea grandis,Purple lesser fritillary,Threatened
Erynnis brizo,Sleepy duskwing,Threatened
Zanclognatha martha,Pine barrens fan-foot,Threatened
Lycia rachelae,Twilight moth,Threatened
Ophiogomphus colubrinus,Boreal snaketail,Threatened
Williamsonia lintneri,Ringed boghaunter,Threatened
Alasmidonta varicosa,Brook floater,Threatened
Atlanticoncha ochracea,Tidewater mucket,Threatened
Lampsilis cariosa,Yellow lampmussel,Threatened
Epeorus frisoni,Roaring Brook mayfly,Threatened
Siphlonisca aerodromia,Tomah mayfly,Threatened